schema_name,table_name,constraint_name,constraint_type,definition
public,credit_block_events,credit_block_events_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id)
public,credit_block_events,credit_block_events_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,credit_notes,credit_notes_customer_id_fkey,FOREIGN KEY,FOREIGN KEY (customer_id) REFERENCES customers(id)
public,credit_notes,credit_notes_order_id_fkey,FOREIGN KEY,FOREIGN KEY (order_id) REFERENCES orders(id)
public,credit_notes,credit_notes_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id)
public,credit_notes,credit_notes_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,customer_assignments,customer_assignments_assigned_by_fkey,FOREIGN KEY,FOREIGN KEY (assigned_by) REFERENCES users(id)
public,customer_assignments,customer_assignments_customer_id_fkey,FOREIGN KEY,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,customer_assignments,customer_assignments_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
public,customer_assignments,customer_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,customer_assignments,customer_assignments_user_id_customer_id_key,UNIQUE,"UNIQUE (user_id, customer_id)"
public,customer_followups,customer_followups_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,customer_ledger,customer_ledger_customer_id_fkey,FOREIGN KEY,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,customer_ledger,customer_ledger_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,customers,customers_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,customers,customers_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,customers,customers_company_id_customer_code_key,UNIQUE,"UNIQUE (company_id, customer_code)"
public,daily_settlements,daily_settlements_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,daily_settlements,daily_settlements_driver_id_fkey,FOREIGN KEY,FOREIGN KEY (driver_id) REFERENCES users(id) ON DELETE SET NULL
public,daily_settlements,daily_settlements_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id) ON DELETE SET NULL
public,daily_settlements,daily_settlements_vehicle_id_fkey,FOREIGN KEY,FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE SET NULL
public,daily_settlements,daily_settlements_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,daily_settlements,daily_settlements_company_id_settlement_code_key,UNIQUE,"UNIQUE (company_id, settlement_code)"
public,daily_settlements,uq_daily_settlement_runsheet,UNIQUE,UNIQUE (runsheet_id)
